id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
2328,FatSecretIndo,Tahu Kol,FatSecretIndo,0,82,1.58,0.97,1.45,0.1,0,0,0,0,92,40,0,0,0,0,0,0,0,0,0,100,kacang biji bean,olahan/produk,https://m.ftscrt.com/static/recipe/09b0eaac-f3f8-401a-9b92-31df845d0016.jpg
2329,FatSecretIndo,Dragon Fruit Jelly,FatSecretIndo,0,554,1.95,0.95,32.45,4.8,0,0,0,0,10,480,0,0,0,0,0,0,0,0,0,100,buah,olahan/produk,https://m.ftscrt.com/static/recipe/b1d1cce9-c733-4f35-b103-d114fc65d1f5.jpg
2330,FatSecretIndo,Dimsum Diet,FatSecretIndo,0,216,3.67,1.53,5.9,0.5,0,0,0,0,300,74,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/a6db4d28-2474-48c7-ac73-f6667b2ee455.jpg
2331,FatSecretIndo,Pancake Naga,FatSecretIndo,0,1397,17.07,9.35,48.64,4.7,0,0,0,0,72,472,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/396bedc0-9fe1-4f59-8c6c-eb12bfb74a26.jpg
2332,FatSecretIndo,Sawi Tahu,FatSecretIndo,0,1029,19.47,11.19,18.6,1.3,0,0,0,0,1525,342,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/ec9f6427-a1c8-40b9-b401-3764138fb446.jpg
2333,FatSecretIndo,Tumis Sawi Putih,FatSecretIndo,0,1100,10.08,15.78,22.48,1.7,0,0,0,0,3083,454,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/4e52a80a-d7e5-4054-923a-632ded6781d3.jpg
2334,FatSecretIndo,Cauliflower Nasi Goreng,FatSecretIndo,0,768,11.36,6.56,23.66,5.4,0,0,0,0,626,784,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/16cf7cb1-cfeb-4696-bf81-dbdb98991bee.jpg
2335,FatSecretIndo,Chicken Tandoori,FatSecretIndo,0,912,17.4,12.81,9.05,2.8,0,0,0,0,326,305,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/d4f21281-6585-4267-a696-7ef1010da743.jpg
2336,FatSecretIndo,Sushi Telor,FatSecretIndo,0,1192,11.2,5.59,46.33,1.5,0,0,0,0,835,235,0,0,0,0,0,0,0,0,0,100,telur,olahan/produk,https://m.ftscrt.com/static/recipe/c5a7c6fb-8c2e-466b-9880-906af2b4098d.jpg
2337,FatSecretIndo,Orange Smoothie,FatSecretIndo,0,782,2.39,0.75,47.88,7.2,0,0,0,0,73,666,0,0,0,0,0,0,0,0,0,100,buah,olahan/produk,https://m.ftscrt.com/static/recipe/47fcd2a6-0688-4652-8848-b85290662597.jpg
2338,FatSecretIndo,Bakmi Goreng Shirataki,FatSecretIndo,0,586,8.94,2.77,23.8,3.8,0,0,0,0,255,279,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/0aed81a5-92fd-43c4-b97f-2c64ce718d0c.jpg
